Spanish,English
hija,is
gustaría,would like
minutos,minutes
cuánto,how much
os,you
hey,hey
muerte,death
dejar,leave
realidad,reality
deja,already
problemas,problems
vi,we
da,and
importante,important
dijiste,said
corazón,heart
miedo,fear
jefe,boss
agua,water
haré,I will do
justo,fair
horas,hours
poder,can
buenos,good
esposa,wife
manos,hands
debes,you must
viene,he comes
venga,come
nuestros,our
ojos,eyes
adelante,forward
encontrar,meet
mano,thousand
cinco,five
niño,child
ninguna,none
otros,others
cara,method
cuidado,Careful
bajo,low
cerca,fence
viejo,old
déjame,let me
noches,nights
bastante,quite
fin,END
tomar,to take
único,single
misma,same
escucha,listen
ningún,none
suficiente,enough
punto,point
cuándo,when
sigue,go on
haya,these
equipo,equipment
grande,big
necesita,needs
llegar,arrive
incluso,even
algunos,some
doctor,doctor
difícil,difficult
aunque,although
hubiera,had
primer,first
coche,coach
hago,do
clase,class
cuatro,four
mas,but
dices,you say
pequeño,little
llama,calls
toma,take
hiciste,did
allá,there
última,last
arriba,above
tierra,land
guerra,war
pensar,think
pueda,can
igual,equal
loco,instead
sangre,blood
mujeres,women
vuelta,lap
fui,I went
trabajar,work
tenido,had
juego,game
deberías,you should
cuerpo,body
e,It is
algunas,some
entrar,to enter
cree,believe
podía,could
debemos,must
oportunidad,chance
teléfono,telephone
necesitamos,we need
final,final
listo,a list
fiesta,fiesta
muchos,many
estabas,you were
quieren,they want
vete,OWN
auto,auto
dar,but
vivir,live
posible,possible
ok,ok
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,fault
abajo,below
escuela,school
ido,eye
fuerte,strong
diciendo,saying
habla,speaks
esté,this
ello,it
pregunta,ask
chicas,girls
eran,were
unas,nails
pasando,going
atrás,back
malo,place
capitán,captain
sra.,sra.
bebé,baby
segundo,second
sabemos,we know
mayor,mayor
comida,food
morir,to die
conozco,know
dame,dame
fácil,easy
comer,eat
vino,wine
lista,list
haga,make
necesitas,you need
hijos,children
probablemente,probably
padres,parents
habitación,room
creer,believe
pensando,thinking
fueron,were
dime,dime
trata,treats
buscando,seeking out
tuve,I had
tampoco,neither
amo,amo
joven,young
podrías,could you
sola,alone
par,about
única,only
hacen,do
seguir,follow
dr.,dr.
simplemente,simply
dicen,they say
medio,half
puta,out
saben,per
sentido,sense
hagas,you do
segura,safe
esperar,wait
lejos,far
arma,weapon
alto,high
pequeña,small
dólares,Dollars
seis,six
estaban,were
seguridad,security
maldita,damn
estuvo,was
preocupes,worry
palabra,word
esperando,waiting
queda,is left over
oficina,office
matar,the woman
iré,I will go
cama,bed
además,besides
último,last
oído,ear
habría,there would be
estará,will be
dio,part
recuerdo,memory
siendo,being
acerca,about
tenga,have
luz,light
correcto,correct
ud.,out.
demonios,demons
nuestras,our
verte,green
dormir,sleep
sitio,place
ayudar,help
conseguir,get
di,Of
marido,husband
paz,peace
idiota,idiot
plan,plan
dado,given
cuanto,how much
peor,worse
murió,died
pueblo,town
vivo,vivo
venido,I come
john,john
basta,it just is
paso,passed
deberíamos,we should
música,music
diga,say
minuto,minutes
anoche,last night
llamar,call
piensa,think
país,country
digas,you say
rey,rey
perdón,sorry
mucha,a lot
falta,lack
pienso,I think
diablos,Devils
perdido,lost
niña,little girl
señorita,Miss
diez,ten
lleva,carry
hospital,hospital
grandes,big ones
maldito,damn you
otras,others
llamado,called
hacemos,we make
llevar,carry
fuego,fire
aqui,here
tuvo,had
poner,put
calle,street
acaba,ends
prueba,proof
increíble,incredible
real,real
libro,book
orden,order
semanas,weeks
especial,Special
mía,tight
café,café
duro,stand
empezar,begin
afuera,outside
queremos,we want
perro,dog
cielo,sky
jack,jack
puesto,position
viaje,journey
detrás,behind
cuarto,room
querida,dear
haría,would do
preguntas,questions
piensas,you think
querido,darling
libre,free
buscar,look for
cual,which
diré,I will say
suena,sounds
jugar,play
cambio,change
película,movie
millones,millions
habrá,there will be
llamada,call
resto,rest
vemos,we see
extraño,strange
mala,she had
presidente,president
srta.,Ms.
irme,leave
ropa,clothes
perder,lose
vuelve,comes back
agente,agent
palabras,words
información,information
raro,down
hará,will do
entiendes,you understand
éste,this
trabajando,working
tratando,treating
general,general
trato,deal
usar,to use
perfecto,perfect
derecho,right
modo,way
ayer,yesterday
conoces,you know
demás,the rest
quieras,you want
podríamos,we could
noticias,news
asesino,killer
encontrado,found
control,control
odio,hatred
frente,forehead
sexo,sex
decirle,tell
estaré,I will be
divertido,funny
armas,weapons
recuerdas,remember
amiga,friend
grupo,group
asunto,affair
acabo,just
mensaje,message
encima,on
atención,attention
diferente,different
uh,uh
cállate,be quiet
daño,damage
sucede,happens
cambiar,change
siguiente,following
sino,but
the,the
seas,seas
médico,doctor
boca,boca
dejó,let
error,error
jamás,never
largo,long
pena,pity
voz,voice
futuro,future
siente,feel
secreto,secret
baño,bathroom
mil,thousand
decirte,tell you
sam,himself
pensaba,thought
novia,bride
propia,own
sueño,dream
haz,haz
fuerza,force
deben,they must
supone,supposes
estábamos,we were
ambos,both
ay,is
estuve,I have been
encontré,I found
vuelto,turned
dolor,pain
dile,wish
encanta,loves
edad,age
darle,give him
pie,at
negro,negro
ganar,gain
york,york
aire,air
lamento,am sorry
verlo,see him
asesinato,murder
vio,saw
adónde,where to
llegado,arrived
disculpe,excuse me
s,s
cita,wish
estaría,It would
fuiste,you were
sistema,system
gusto,like
pobre,poor
negocio,business
mente,mind
tuyo,dry
campo,field
mire,what
situación,situation
tras,after
hotel,hotel
vosotros,you
funciona,it works
foto,Photo
abogado,lawyer
loca,loca
propio,own
alrededor,around
próxima,next
terminado,finished
hablas,speak
pagar,pay
mató,killed
llamo,called
personal,personal
sientes,you feel
ocurre,occurs
ésta,this
recuerda,remember
mitad,half
quiera,want
pelo,for the
tenías,you had
viste,knew
oficial,official
llegó,arrive
compañía,company
relación,relationship
conoce,known
pase,than
montón,lot
mejores,top
creí,I believed
cena,cena
sentir,to feel
través,through
accidente,accident
i,i
ellas,they
caja,box
tranquilo,quiet
bonito,beautiful
eras,eras
asi,but
pudo,could
vive,lives
vista,vista
estúpido,idiot
línea,line
caballeros,gentlemen
haremos,will
dan,and
quédate,stay
tienda,store
comprar,purchase
entendido,understood
centro,center
salvo,saved
mes,we
joe,joe
sol,sun
tonto,tonto
hambre,hunger
michael,michael
mesa,mesa
respuesta,answer
completamente,completely
david,david
carta,paper
totalmente,totally
imposible,impossible
pruebas,evidence
novio,boyfriend
normal,normal
gustan,gustan
frank,frank
pude,could
charlie,charlie
traje,lasts
dirección,address
siete,seven
dijeron,they said
placer,placer
sean,sean
tendrá,will have
barco,boat
blanco,white
tom,tom
profesor,teacher
servicio,service
muchacho,young guy
reunión,meeting
dejado,left
ley,law
quisiera,I'd like
hubo,was
george,george
programa,program
carrera,career
cumpleaños,birthday
muchachos,boys
culo,ass
canción,song
hermosa,beautiful
universidad,university
boda,wedding
decirme,tell me
cualquiera,any
tengas,have
hacía,toward
estés,you are
sala,living room
llevo,he took
decisión,decision
espere,hope
don,don
necesario,necessary
sal,shall
entra,goes into
prisa,hurry
carajo,fuck
embargo,embargo
interesante,interesting
tendrás,you will have
escuchar,listen
abuela,grandmother
hicieron,they made
detective,detective
horrible,horrible
suelo,floor
fotos,Photos
cárcel,jail
acá,here
io,this
mike,mike
siéntate,Sit down
decía,He said
intentando,trying
vámonos,let's go
maldición,curse
silencio,silence
muerta,dead
capaz,able
salió,he left
club,club
terminar,finish
temo,theme
broma,joke
gobierno,government
prometo,promise
cámara,camera
media,media
terrible,terrible
llamó,called
regalo,gift
amable,gentle
dulce,sweet
muertos,dead
querías,you wanted
ataque,attack
das,the
navidad,Christmas
negocios,business
pudiera,could
ocho,eight
avión,plane
investigación,investigation
acabó,just
juro,law
mantener,keep
ejército,army
papel,paper
partes,parts
ten,ten
gracioso,funny
diría,would say
principio,principle
delante,in front of
teniente,lieutenant
deseo,desire
vayas,go
nave,nave
sale,sale
basura,garbage
vine,vine
contacto,contact
esposo,husband
tren,train
encontramos,we find
dale,dale
verdadero,TRUE
tuya,yours
alma,alma
hazlo,do it
disculpa,sorry
junto,together
anda,you
tendré,I will have
matrimonio,marriage
saberlo,know it
locura,craziness
oro,air
permiso,permission
director,director
peligro,danger
libertad,freedom
alegro,glad
baja,low
tendremos,we will have
derecha,right
encuentra,finds
pies,pies
segunda,second
maravilloso,marvelous
espacio,space
rato,mouse
abuelo,grandfather
esperaba,I expected
mirando,looking
salud,health
sorpresa,surprise
ninguno,none
miren,wonder
triste,sad
aun,still
pensado,thought
maestro,teacher
según,according to
infierno,hell
podrían,could
tipos,types
tía,aunt
crimen,crime
conocido,acquaintance
consejo,advice
ante,in view of
iglesia,church
intento,tried
mayoría,most
doy,give
peter,peter
hicimos,we did
escena,scene
piso,floor
señal,sign
honor,honor
llamas,flames
abre,open
cerebro,brain
veras,you will see
viendo,seeing
pone,places
pregunto,asked
cocina,kitchen
vestido,dress
inteligente,intelligent
vieja,old
caballo,horse
vienen,they come
vidas,lives
bar,bar
corte,cut
sucedió,happened
adentro,inside
drogas,drugs
enseguida,right away
busca,search
agradable,pleasant
carne,meat
parecía,looked like
departamento,Department
lindo,beautiful
mar,mar
duda,doubt
edificio,building
conocer,know
cargo,cargo
víctima,victim
luna,officer
energía,energy
frío,cold
hablo,speak
baile,town
trabaja,works
misión,mission
listos,ready
ayudarte,help you
izquierda,left
paul,paul
beber,to drink
deje,happening
finalmente,finally
simple,simple
daré,I will give
sabías,did you know
puedas,you can
puso,heart
creía,believed
regresar,go back
llega,arrives
entender,to understand
mirar,look
sacar,to withdraw
cambiado,changed
trae,brings
hermoso,beautiful
opinión,opinion
verás,you will see
linda,linda
apenas,just
segundos,seconds
cerveza,beer
harás,you will do
estuviera,was
creen,believe
oír,hear
tendría,would have
cuántos,how many
hablado,spoken
hablamos,talk later
reina,queen
temprano,early
tema,him
prisión,prison
porqué,because
vuelva,come back
público,public
ocurrió,occurred
veré,I will see
salvar,to save
partido,broken
bonita,beautiful
joder,fuck
causa,cause
caliente,hot
sargento,sergeant
cenar,have dinner
compañero,buddy
llevó,he took
banco,Bank
existe,exist
ben,ben
zona,zone
destino,destiny
base,base
solía,used to
cliente,client
irse,leave
perra,bitch
james,james
encuentro,meeting
encontró,found
pelea,fight
san,san
norte,north
quise,I wanted
coronel,colonel
apuesto,handsome
peligroso,dangerous
viva,viva
max,max
vienes,you come
necesitan,need
té,has
excepto,except
juicio,judgment
podamos,we can
llave,key
equivocado,mistaken
posición,position
trasero,rear
irnos,let's go
espalda,back
excelente,great
éxito,success
modos,modes
ventana,window
veamos,let's see
especie,species
teníamos,we had
diferencia,difference
formas,shapes
pedir,ask
últimos,last
escúchame,listen to me
ejemplo,example
ése,that
radio,radio
lee,lee
calma,calm
hogar,home
volveré,I will be back
fondo,bottom
humano,human
henry,henry
tí,of
iremos,we will go
unidos,joined
habían,had
jesús,Jesus
planeta,planet
verme,don't give
respecto,regard
regreso,return
debido,due
seré,I will be
tenían,They had
leer,file
parar,to stop
lleno,full
dejé,leave
respeto,I respect
debajo,below
harry,harry
escribir,write
estación,season
pidió,asked
alta,high
pista,track
estrella,star
enfermo,sick
duele,hurts
sueños,dreams
veremos,we will see
miles,miles
darme,give me
órdenes,orders
ocupado,busy
sigues,are you still
corre,corre
podido,I have
dejes,leave
nivel,level
habéis,you have
experiencia,experience
darte,to give you
salida,exit
decirlo,say it
confiar,trust
hacerte,make you
necesitaba,needed
hermanos,siblings
zapatos,shoes
color,color
vistazo,glance
nena,baby
tratar,deal with
parecer,seem
juez,judge
próximo,next
paciente,patient
hayas,beech
bolsa,if
arte,until
mary,mary
jugando,playing
llevas,you carry
alegra,happy
bailar,dance
diablo,diablo
oí,I heard
sepa,sepa
estarás,you will be
sur,on
banda,band
aprender,learn
precio,price
completo,complete
santo,Holy
culpable,culpable
ganas,desire
tuvimos,we had
you,you
verla,see it
volvió,went back
libros,books
ojo,look like
serán,will be
cielos,Heavens
matado,killed
azul,blue
diferentes,many different
irte,go away
ia,him
comandante,commander
acción,action
reglas,rules
obra,constructions
esperanza,hope
cuestión,question
molesta,bothers
teniendo,having
bill,bill
informe,report
jimmy,jimmy
río,river
bienvenido,welcome
abrir,Open
tocar,tap
bob,bob
contar,tell
sigo,I follow
interior,interior
apartamento,apartment
vea,see
estados,States
estáis,you are
preocupa,worries
tomó,took
principal,principal
empieza,begin
londres,London
empezó,it started
vayan,go
jim,jim
llaman,they call
ojalá,I wish
perdona,sorry
vuelvo,I come back
golpe,blow
quedarme,stay
llamaré,I will call
acabado,finish
estilo,style
nueve,nine
definitivamente,definitely
quedar,meet
cartas,cards
bomba,pipe
guardia,guard
pistola,pistol
probar,prove
majestad,majesty
traer,bring
marcha,march
pareces,you seem
común,common
aquel,that
hacerle,do
vuelo,flight
nota,use
danny,danny
humanos,humans
estaremos,will be
valor,value
suyo,yours
objetivo,aim
repente,suddenly
debía,should
rojo,red
bromeando,joking
irá,will
entrada,Prohibited
doble,double
dejaré,I will leave
evitar,avoid
máquina,machine
cuello,neck
conocí,I met
tiempos,time
tome,to that
nick,nick
animales,animals
alex,alex
acaso,chance
tuviera,had
pareja,couple
verano,summer
escuché,listen
ama,or
serás,you will
mentira,lie
tarjeta,card
hagan,hagan
perdí,I missed
correr,run
steve,steve
traído,brought
llegue,I arrived
preparado,prepared
haberlo,have
tony,tony
usa,deer
intentar,attempt
ayudarme,help me
flores,flores
dando,giving
vos,your
opción,option
isla,the same
cierra,close
piel,fur
enemigo,enemy
dejo,let
exacto,exact
imbécil,fool
jóvenes,youths
pedido,order
larga,long
entiende,understands
justicia,justice
nuevos,new
obviamente,obviously
despierta,wake up
pido,I ask
calor,heat
luces,lights
refiero,I mean
fuimos,went
batalla,battle
déjalo,leave it alone
intenta,try
sarah,sarah
fantástico,Fantastic
brazo,arm
absolutamente,absolutely
llena,full
hacerme,make me
salga,out
recordar,remember
escapar,escape
bosque,forest
gay,gay
señores,sirs
quedan,remain
piernas,legs
visita,visit
parís,Paris
usando,using
ganado,cattle
movimiento,motion
blanca,white
rico,rico
inocente,innocent
pesar,weigh
absoluto,absolute
vacaciones,vacation
um,one
mismos,themselves
tomado,taken
habías,had
planes,planes
cine,who
toca,touch
brillante,bright
confianza,trust
vuestra,your
nombres,Names
especialmente,especially
fbi,fbi
embarazada,pregnant
esperen,they wait
pantalones,pants
defensa,defending
terminó,term
salido,stepped out
estupendo,great
jane,jane
presión,pressure
inmediatamente,immediately
testigo,witness
deberían,should
olvidado,forgotten
soldados,soldiers
resulta,result
tommy,tommy
depende,it depends
motivo,reason
inglés,English
suya,to the water
estudio,study
acabar,finish
sentimientos,feelings
tomando,taking
dieron,they gave
parecen,they look like
llaves,keys
perros,dogs
propósito,purpose
noticia,news
partir,leave
vuestro,your
metros,meters
santa,santa
quedarse,stay
clientes,customers
podrá,will be able
cuántas,how many
ridículo,ridiculous
damas,ladies
estuviste,you were
tranquila,quiet
operación,operation
come,come
empresa,company
ayúdame,Help me
laboratorio,laboratory
elección,choice
menudo,slight
beso,kiss
copa,Cup
conversación,conversation
brazos,arms
espíritu,spirit
dejas,dances
cansado,tired out
interesa,interest
refieres,you mean
casado,married
enorme,huge
asuntos,affairs
fe,fe
muestra,sample
trampa,trap
ray,ray
billy,billy
memoria,memory
johnny,johnny
contrario,contrary
soldado,Soldier
subir,move up
turno,shift
encantaría,would love
preocupado,worried
restaurante,restaurant
saliendo,coming out
escrito,written
cálmate,take it easy
bienvenida,welcome
caer,fall
llevaré,I will take
leche,milk
estrellas,stars
prefiero,prefer
red,red
viejos,old
solamente,only
oiga,Listen
estén,are
cuentas,accounts
taxi,taxi
anillo,ring
richard,richard
preguntar,ask
victoria,victoria
quiénes,who
héroe,hero
pequeños,little ones
decidido,decided
películas,films
responsable,responsible
trago,I bring
volverá,To return to
árbol,tree
ibas,you were going
dientes,teeth
encantado,charmed
camión,truck
vender,sell
llame,I called
detente,detente
luchar,struggle
cabo,cable
ruido,noise
lucha,struggle
muere,go dead
reloj,clock
gato,cat
averiguar,figure out
volar,fly
vayamos,let's go
tanta,so much
vendrá,will come
corriendo,in a hurry
yendo,going
colegio,school
sonido,sound
caballero,gentleman
pasada,past
código,code
hagamos,let's do
imagen,image
riesgo,risk
llegamos,we arrived
alguno,some
pan,bread
millón,million
malas,lazy
dama,lady
hielo,ice
coño,Pussy
cayó,fell
prensa,press
querer,to want
vengan,come
eddie,eddie
caminar,walk
televisión,television
pasará,it will happen
momentos,moments
coger,take
posibilidad,possibility
hubiese,would have
mark,mark
asiento,seat
tuviste,You saw
herido,injured
maría,Maria
seguramente,surely
proyecto,project
pared,pared
sentí,I felt
sospechoso,suspicious
naturaleza,nature
ésa,that
silla,chair
perdió,lost
robert,robert
policías,police
arreglar,arrange
sentado,seated
papi,papi
ideas,ideas
obtener,obtain
felices,happy
señoría,lordship
cantidad,amount
bebe,baby
mírame,Look at me
chris,chris
papa,table
llorar,cry
quedó,remained
familiar,familiar
desastre,disaster
locos,locos
escuche,listen
quedarte,stay
política,policy
pedí,I asked
sois,be
nosotras,we
will,will
enfermedad,disease
encontraron,They found
colega,co-worker
príncipe,Prince
verde,green
bajar,lower
nervioso,highly strung
vengo,come
inspector,inspector
sirve,it serves
puertas,doors
fuerzas,forces
playa,playa
cantar,sing
déjeme,let me
velocidad,speed
total,total
cabello,hair
suficientemente,enough
huellas,footprints
haberte,have you
debí,I should have
unidad,unit
estan,they are
cuchillo,knife
t,t
oigan,hey
quienes,who
gana,enough
tonterías,foolishness
emergencia,emergency
perfecta,perfect
hable,I talked
gustaba,liked
lugares,places
ryan,ryan
show,show
robo,robo
permite,allows
parque,park
uds.,uds.
roto,inside
serie,series
puse,half
nuevas,new
evidencia,evidence
conocerte,know you
estúpida,stupid
preocupe,worry
perdone,excuse me
botella,bottle
viento,wind
mando,command
extraña,strange
historias,stories
aquella,that
tenéis,you have
solos,solos
apoyo,support
bala,read
verdadera,true
tiro,number
época,era
puente,bridge
olvídalo,forget it
distancia,distance
desea,want
dejarlo,leave it
pelear,fight
pierna,leg
echar,throw
descanso,rest
américa,America
área,area
orgulloso,proud
datos,data
espectáculo,show
sube,goes up
dejaste,you left
acabas,you finish
verá,will see
magia,magic
nacional,national
universo,universe
llevaba,wore
necesitar,need
nariz,nose
aquellos,those
clases,classes
jake,jake
casas,houses
vergüenza,shame
estarán,will be
monstruo,monster
princesa,Princess
autobús,bus
cuidar,to care
ei,no
huevos,eggs
pocos,few
podrás,you can
enferma,sick
paseo,walk
detalles,details
llamadas,calls
belleza,beauty
francia,France
abierto,open
viviendo,living
envió,shipment
puntos,points
ministro,minister
conducir,drive
aceptar,accept
borracho,drunk
animal,animal
caballos,horses
trajo,brought
contrato,contract
viernes,Friday
bobby,bobby
martin,martin
amy,amy
bienvenidos,welcome
ex,ex
hechos,facts
sociedad,society
dra.,wear.
tengan,have
quede,stay
inglaterra,England
carga,charge
diste,you gave
puto,I think
lleve,I carried
presente,gift
conocía,knew
uso,use
dedos,fingers
oferta,offer
sentía,felt
proteger,protect
daniel,daniel
date,date
hiciera,did
hablé,I talked
recibir,receive
agradezco,I appreciate
robar,steal
enamorado,in love
sepas,know
oeste,west
herida,wound
despacio,slowly
ayude,help
supe,supe
directamente,directly
inmediato,immediate
profesional,professional
oscuro,dark
mercado,Marketplace
cerdo,pig
tardes,afternoon
líder,leader
grave,grave
llegué,I arrived
jurado,jury
casos,cases
acuerdas,you agree
ahi,oh
desaparecido,missing
debió,should have
hubieras,would have
últimamente,lately
piedra,stone
éramos,we were
habló,speak
charles,charles
paga,pay
secretos,secrets
digamos,Let's say
intención,intention
humor,humor
dura,dura
dará,will give
seguros,insurance
leo,leo
adam,adam
and,and
ángeles,angels
querría,I would want
cerrar,close
conseguido,achieved
peso,weight
víctimas,victims
asesinado,murdered
humana,human
directo,straight
central,central
termina,ends
compañeros,companions
escuchado,listened
contento,happy
llevan,They carry
podré,I will be able
oscuridad,darkness
actuar,Act
siga,follow
llevado,carried
comenzó,began
regresa,came back
privado,private
mirada,look
demonio,devil
abierta,open
kevin,kevin
m,m
llámame,call me
siguen,they continue
romper,break
cambia,change
fiscal,fiscal
jardín,garden
natural,natural
gratis,free
cuesta,costs
amenaza,threat
pon,pounds
marca,brand
comenzar,begin
ponte,bridge
medicina,medicine
podremos,we will can
tomé,Thomas
preciosa,lovely
sexual,sexual
acceso,access
necesidad,need
dueño,owner
merece,deserve
rayos,good heavens
d,d
mintiendo,lying
tantas,so many
imagino,I imagine
fantasma,ghost
creerlo,believe it
llamé,I called
ponga,put
brian,brian
dé,god
pollo,chicken
varios,several
efecto,effect
felicidad,happiness
espada,sword
relaciones,relations
entró,I enter
resultado,result
sombrero,sombrero
menor,smaller
recibido,received
negra,black
to,to
habido,been
limpio,clean
china,china
juegos,games
correo,mail
confía,trust
video,video
perfectamente,perfectly
harán,they will
teatro,theater
dormido,asleep
local,local
quedado,left
lástima,pity
calles,streets
créeme,believe me
responsabilidad,responsibility
búsqueda,search
dedo,finger
tonta,worn out
recuerdos,memories
razones,reasons
escuchando,listening
eric,eric
elegir,choose
amas,loves
huele,smells
almuerzo,lunch
cien,hundred
adn,dna
tantos,so many
pago,pay
normalmente,normally
mr,mr
pastel,pastel
bastardo,Bastard
cinta,Love
pasé,happens
dígame,tell me
anna,anna
costa,costa
levántate,Get up
llamando,calling
cerrado,closed
interés,interest
enfermera,nurse
comienzo,beginning
olvidé,forget
fuese,was
militar,military
polvo,dust
bella,bella
quedo,stay
kate,kate
encontraste,by contrast
voluntad,willpower
varias,several
teoría,theory
roja,the day
cuento,tale
escenario,scenery
diario,diary
propiedad,property
agujero,hole
aspecto,aspect
campamento,camp
descansar,rest
matarme,kill me
metido,put
quiso,wanted
ángel,angel
enviar,to send
impresionante,awesome
proceso,process
intentado,tried
mio,my
fuente,fountain
alcalde,mayor
ocurrido,occurred
malos,bad
carretera,road
desapareció,He disappeared
desayuno,breakfast
débil,weak
roma,Rome
sabido,known
comienza,starts
tambien,also
intentarlo,try it
miembro,member
perdiendo,losing
hayan,have
fueras,you were
resultados,results
jerry,jerry
mata,eye
sr,sr
valiente,brave
deber,duty
pecho,chest
gustó,taste
oyes,you hear
thomas,thomas
periódico,newspaper
mami,mami
piensan,they think
washington,washington
tv,tv
cansada,tired
limpiar,clean
crear,create
explicar,explain
robado,stolen
resolver,solve
maté,mate
guapo,handsome
continuar,Continue
sheriff,sheriff
funcionar,work
extra,extra
primo,first
manejar,drive
primeros,first
acto,act
poniendo,putting up
números,numbers
kilómetros,kilometres
andy,andy
llevará,carry
rachel,rachel
