,Spanish,English
518,sentido,sense
519,hagas,you do
520,segura,safe
521,esperar,wait
522,lejos,far
523,arma,weapon
524,alto,high
525,pequeña,small
526,dólares,Dollars
527,seis,six
528,estaban,were
529,seguridad,security
530,maldita,damn
531,estuvo,was
532,preocupes,worry
533,palabra,word
534,esperando,waiting
535,queda,is left over
536,oficina,office
537,matar,the woman
538,iré,I will go
539,cama,bed
540,además,besides
541,último,last
542,oído,ear
543,habría,there would be
544,estará,will be
545,dio,part
546,recuerdo,memory
547,siendo,being
548,acerca,about
549,tenga,have
550,luz,light
551,correcto,correct
552,ud.,out.
553,demonios,demons
554,nuestras,our
555,verte,green
556,dormir,sleep
557,sitio,place
558,ayudar,help
559,conseguir,get
560,di,Of
561,marido,husband
562,paz,peace
563,idiota,idiot
564,plan,plan
565,dado,given
566,cuanto,how much
567,peor,worse
568,murió,died
569,pueblo,town
570,vivo,vivo
571,venido,I come
572,john,john
573,basta,it just is
574,paso,passed
575,deberíamos,we should
576,música,music
577,diga,say
578,minuto,minutes
579,anoche,last night
580,llamar,call
581,piensa,think
582,país,country
583,digas,you say
584,rey,rey
585,perdón,sorry
586,mucha,a lot
587,falta,lack
588,pienso,I think
589,diablos,Devils
590,perdido,lost
591,niña,little girl
592,señorita,Miss
593,diez,ten
594,lleva,carry
595,hospital,hospital
596,grandes,big ones
597,maldito,damn you
598,otras,others
599,llamado,called
600,hacemos,we make
601,llevar,carry
602,fuego,fire
603,aqui,here
604,tuvo,had
605,poner,put
606,calle,street
607,acaba,ends
608,prueba,proof
609,increíble,incredible
610,real,real
611,libro,book
612,orden,order
613,semanas,weeks
614,especial,Special
615,mía,tight
616,café,café
617,duro,stand
618,empezar,begin
619,afuera,outside
620,queremos,we want
621,perro,dog
622,cielo,sky
623,jack,jack
624,puesto,position
625,viaje,journey
626,detrás,behind
627,cuarto,room
628,querida,dear
629,haría,would do
630,preguntas,questions
631,piensas,you think
632,querido,darling
633,libre,free
634,buscar,look for
635,cual,which
636,diré,I will say
637,suena,sounds
638,jugar,play
639,cambio,change
640,película,movie
641,millones,millions
642,habrá,there will be
643,llamada,call
644,resto,rest
645,vemos,we see
646,extraño,strange
647,mala,she had
648,presidente,president
649,srta.,Ms.
650,irme,leave
651,ropa,clothes
652,perder,lose
653,vuelve,comes back
654,agente,agent
655,palabras,words
656,información,information
657,raro,down
658,hará,will do
659,entiendes,you understand
660,éste,this
661,trabajando,working
662,tratando,treating
663,general,general
664,trato,deal
665,usar,to use
666,perfecto,perfect
667,derecho,right
668,modo,way
669,ayer,yesterday
670,conoces,you know
671,demás,the rest
672,quieras,you want
673,podríamos,we could
674,noticias,news
675,asesino,killer
676,encontrado,found
677,control,control
678,odio,hatred
679,frente,forehead
680,sexo,sex
681,decirle,tell
682,estaré,I will be
683,divertido,funny
684,armas,weapons
685,recuerdas,remember
686,amiga,friend
687,grupo,group
688,asunto,affair
689,acabo,just
690,mensaje,message
691,encima,on
692,diferente,different
693,uh,uh
694,cállate,be quiet
695,daño,damage
696,sucede,happens
697,cambiar,change
698,siguiente,following
699,sino,but
700,the,the
701,seas,seas
702,médico,doctor
703,boca,boca
704,dejó,let
705,error,error
706,jamás,never
707,largo,long
708,pena,pity
709,voz,voice
710,futuro,future
711,siente,feel
712,secreto,secret
713,baño,bathroom
714,mil,thousand
715,decirte,tell you
716,sam,himself
717,pensaba,thought
718,novia,bride
719,propia,own
720,sueño,dream
721,haz,haz
722,fuerza,force
723,deben,they must
724,supone,supposes
725,estábamos,we were
726,ambos,both
727,ay,is
728,estuve,I have been
729,encontré,I found
730,vuelto,turned
731,dolor,pain
732,dile,wish
733,encanta,loves
734,edad,age
735,darle,give him
736,pie,at
737,negro,negro
738,ganar,gain
739,york,york
740,aire,air
741,lamento,am sorry
742,verlo,see him
743,asesinato,murder
744,vio,saw
745,adónde,where to
746,llegado,arrived
747,disculpe,excuse me
748,s,s
749,cita,wish
750,estaría,It would
751,fuiste,you were
752,sistema,system
753,gusto,like
754,pobre,poor
755,negocio,business
756,mente,mind
757,tuyo,dry
758,campo,field
759,mire,what
760,situación,situation
761,tras,after
762,hotel,hotel
763,vosotros,you
764,funciona,it works
765,foto,Photo
766,abogado,lawyer
767,loca,loca
768,propio,own
769,alrededor,around
770,próxima,next
771,terminado,finished
772,hablas,speak
773,pagar,pay
774,mató,killed
775,llamo,called
776,personal,personal
777,sientes,you feel
778,ocurre,occurs
779,ésta,this
780,recuerda,remember
781,mitad,half
782,quiera,want
783,pelo,for the
784,tenías,you had
785,viste,knew
786,oficial,official
787,llegó,arrive
788,compañía,company
789,relación,relationship
790,conoce,known
791,pase,than
792,montón,lot
793,mejores,top
794,creí,I believed
795,cena,cena
796,sentir,to feel
797,través,through
798,accidente,accident
799,i,i
800,ellas,they
801,caja,box
802,tranquilo,quiet
803,bonito,beautiful
804,eras,eras
805,asi,but
806,pudo,could
807,vive,lives
808,vista,vista
809,estúpido,idiot
810,línea,line
811,caballeros,gentlemen
812,haremos,will
813,dan,and
814,quédate,stay
815,tienda,store
816,comprar,purchase
817,entendido,understood
818,centro,center
819,salvo,saved
820,mes,we
821,joe,joe
822,sol,sun
823,tonto,tonto
824,hambre,hunger
825,michael,michael
826,mesa,mesa
827,respuesta,answer
828,completamente,completely
829,david,david
830,carta,paper
831,totalmente,totally
832,imposible,impossible
833,pruebas,evidence
834,novio,boyfriend
835,normal,normal
836,gustan,gustan
837,frank,frank
838,pude,could
839,charlie,charlie
840,traje,lasts
841,dirección,address
842,siete,seven
843,dijeron,they said
844,placer,placer
845,sean,sean
846,tendrá,will have
847,barco,boat
848,blanco,white
849,tom,tom
850,profesor,teacher
851,servicio,service
852,muchacho,young guy
853,reunión,meeting
854,dejado,left
855,ley,law
856,quisiera,I'd like
857,hubo,was
858,george,george
859,programa,program
860,carrera,career
861,cumpleaños,birthday
862,muchachos,boys
863,culo,ass
864,canción,song
865,hermosa,beautiful
866,universidad,university
867,boda,wedding
868,decirme,tell me
869,cualquiera,any
870,tengas,have
871,hacía,toward
872,estés,you are
873,sala,living room
874,llevo,he took
875,decisión,decision
876,espere,hope
877,don,don
878,necesario,necessary
879,sal,shall
880,entra,goes into
881,prisa,hurry
882,carajo,fuck
883,embargo,embargo
884,interesante,interesting
885,tendrás,you will have
886,escuchar,listen
887,abuela,grandmother
888,hicieron,they made
889,detective,detective
890,horrible,horrible
891,suelo,floor
892,fotos,Photos
893,cárcel,jail
894,acá,here
895,io,this
896,mike,mike
897,siéntate,Sit down
898,decía,He said
899,intentando,trying
900,vámonos,let's go
901,maldición,curse
902,silencio,silence
903,muerta,dead
904,capaz,able
905,salió,he left
906,club,club
907,terminar,finish
908,temo,theme
909,broma,joke
910,gobierno,government
911,prometo,promise
912,cámara,camera
913,media,media
914,terrible,terrible
915,llamó,called
916,regalo,gift
917,amable,gentle
918,dulce,sweet
919,muertos,dead
920,querías,you wanted
921,ataque,attack
922,das,the
923,navidad,Christmas
924,negocios,business
925,pudiera,could
926,ocho,eight
927,avión,plane
928,investigación,investigation
929,acabó,just
930,juro,law
931,mantener,keep
932,ejército,army
933,papel,paper
934,partes,parts
935,ten,ten
936,gracioso,funny
937,diría,would say
938,principio,principle
939,delante,in front of
940,teniente,lieutenant
941,deseo,desire
942,vayas,go
943,nave,nave
944,sale,sale
945,basura,garbage
946,vine,vine
947,contacto,contact
948,esposo,husband
949,tren,train
950,encontramos,we find
951,dale,dale
952,verdadero,TRUE
953,tuya,yours
954,alma,alma
955,hazlo,do it
956,disculpa,sorry
957,junto,together
958,anda,you
959,tendré,I will have
960,matrimonio,marriage
961,saberlo,know it
962,locura,craziness
963,oro,air
964,permiso,permission
965,director,director
966,peligro,danger
967,libertad,freedom
968,alegro,glad
969,baja,low
970,tendremos,we will have
971,derecha,right
972,encuentra,finds
973,pies,pies
974,segunda,second
975,maravilloso,marvelous
976,espacio,space
977,rato,mouse
978,abuelo,grandfather
979,esperaba,I expected
980,mirando,looking
981,salud,health
982,sorpresa,surprise
983,ninguno,none
984,miren,wonder
985,triste,sad
986,aun,still
987,pensado,thought
988,maestro,teacher
989,según,according to
990,infierno,hell
991,podrían,could
992,tipos,types
993,tía,aunt
994,crimen,crime
995,conocido,acquaintance
996,consejo,advice
997,ante,in view of
998,iglesia,church
999,intento,tried
1000,mayoría,most
1001,doy,give
1002,peter,peter
1003,hicimos,we did
1004,escena,scene
1005,piso,floor
1006,señal,sign
1007,honor,honor
1008,llamas,flames
1009,abre,open
1010,cerebro,brain
1011,veras,you will see
1012,viendo,seeing
1013,pone,places
1014,pregunto,asked
1015,cocina,kitchen
1016,vestido,dress
1017,inteligente,intelligent
1018,vieja,old
1019,caballo,horse
1020,vienen,they come
1021,vidas,lives
1022,bar,bar
1023,corte,cut
1024,sucedió,happened
1025,adentro,inside
1026,drogas,drugs
1027,enseguida,right away
1028,busca,search
1029,agradable,pleasant
1030,carne,meat
1031,parecía,looked like
1032,departamento,Department
1033,lindo,beautiful
1034,mar,mar
1035,duda,doubt
1036,edificio,building
1037,conocer,know
1038,cargo,cargo
1039,víctima,victim
1040,luna,officer
1041,energía,energy
1042,frío,cold
1043,hablo,speak
1044,baile,town
1045,trabaja,works
1046,misión,mission
1047,listos,ready
1048,ayudarte,help you
1049,izquierda,left
1050,paul,paul
1051,beber,to drink
1052,deje,happening
1053,finalmente,finally
1054,simple,simple
1055,daré,I will give
1056,sabías,did you know
1057,puedas,you can
1058,puso,heart
1059,creía,believed
1060,regresar,go back
1061,llega,arrives
1062,entender,to understand
1063,mirar,look
1064,sacar,to withdraw
1065,cambiado,changed
1066,trae,brings
1067,hermoso,beautiful
1068,opinión,opinion
1069,verás,you will see
1070,linda,linda
1071,apenas,just
1072,segundos,seconds
1073,cerveza,beer
1074,harás,you will do
1075,estuviera,was
1076,creen,believe
1077,oír,hear
1078,tendría,would have
1079,cuántos,how many
1080,hablado,spoken
1081,hablamos,talk later
1082,reina,queen
1083,temprano,early
1084,tema,him
1085,prisión,prison
1086,porqué,because
1087,vuelva,come back
1088,público,public
1089,ocurrió,occurred
1090,veré,I will see
1091,salvar,to save
1092,partido,broken
1093,bonita,beautiful
1094,joder,fuck
1095,causa,cause
1096,caliente,hot
1097,sargento,sergeant
1098,cenar,have dinner
1099,compañero,buddy
1100,llevó,he took
1101,banco,Bank
1102,existe,exist
1103,ben,ben
1104,zona,zone
1105,destino,destiny
1106,base,base
1107,solía,used to
1108,cliente,client
1109,irse,leave
1110,perra,bitch
1111,james,james
1112,encuentro,meeting
1113,encontró,found
1114,pelea,fight
1115,san,san
1116,norte,north
1117,quise,I wanted
1118,coronel,colonel
1119,apuesto,handsome
1120,peligroso,dangerous
1121,viva,viva
1122,max,max
1123,vienes,you come
1124,necesitan,need
1125,té,has
1126,excepto,except
1127,juicio,judgment
1128,podamos,we can
1129,llave,key
1130,equivocado,mistaken
1131,posición,position
1132,trasero,rear
1133,irnos,let's go
1134,espalda,back
1135,excelente,great
1136,éxito,success
1137,modos,modes
1138,ventana,window
1139,veamos,let's see
1140,especie,species
1141,teníamos,we had
1142,diferencia,difference
1143,formas,shapes
1144,pedir,ask
1145,últimos,last
1146,escúchame,listen to me
1147,ejemplo,example
1148,ése,that
1149,radio,radio
1150,lee,lee
1151,calma,calm
1152,hogar,home
1153,volveré,I will be back
1154,fondo,bottom
1155,humano,human
1156,henry,henry
1157,tí,of
1158,iremos,we will go
1159,unidos,joined
1160,habían,had
1161,jesús,Jesus
1162,planeta,planet
1163,verme,don't give
1164,respecto,regard
1165,regreso,return
1166,debido,due
1167,seré,I will be
1168,tenían,They had
1169,leer,file
1170,parar,to stop
1171,lleno,full
1172,dejé,leave
1173,respeto,I respect
1174,debajo,below
1175,harry,harry
1176,escribir,write
1177,estación,season
1178,pidió,asked
1179,alta,high
1180,pista,track
1181,estrella,star
1182,enfermo,sick
1183,duele,hurts
1184,sueños,dreams
1185,veremos,we will see
1186,miles,miles
1187,darme,give me
1188,órdenes,orders
1189,ocupado,busy
1190,sigues,are you still
1191,corre,corre
1192,podido,I have
1193,dejes,leave
1194,nivel,level
1195,habéis,you have
1196,experiencia,experience
1197,darte,to give you
1198,salida,exit
1199,decirlo,say it
1200,confiar,trust
1201,hacerte,make you
1202,necesitaba,needed
1203,hermanos,siblings
1204,zapatos,shoes
1205,color,color
1206,vistazo,glance
1207,nena,baby
1208,tratar,deal with
1209,parecer,seem
1210,juez,judge
1211,próximo,next
1212,paciente,patient
1213,hayas,beech
1214,bolsa,if
1215,arte,until
1216,mary,mary
1217,jugando,playing
1218,llevas,you carry
1219,alegra,happy
1220,bailar,dance
1221,diablo,diablo
1222,oí,I heard
1223,sepa,sepa
1224,estarás,you will be
1225,sur,on
1226,banda,band
1227,aprender,learn
1228,precio,price
1229,santo,Holy
1230,culpable,culpable
1231,ganas,desire
1232,tuvimos,we had
1233,you,you
1234,verla,see it
1235,volvió,went back
1236,libros,books
1237,ojo,look like
1238,serán,will be
1239,cielos,Heavens
1240,matado,killed
1241,azul,blue
1242,diferentes,many different
1243,irte,go away
1244,ia,him
1245,comandante,commander
1246,acción,action
1247,reglas,rules
1248,obra,constructions
1249,esperanza,hope
1250,cuestión,question
1251,molesta,bothers
1252,teniendo,having
1253,bill,bill
1254,informe,report
1255,jimmy,jimmy
1256,río,river
1257,bienvenido,welcome
1258,abrir,Open
1259,tocar,tap
1260,bob,bob
1261,contar,tell
1262,sigo,I follow
1263,interior,interior
1264,apartamento,apartment
1265,vea,see
1266,estados,States
1267,estáis,you are
1268,preocupa,worries
1269,tomó,took
1270,principal,principal
1271,empieza,begin
1272,londres,London
1273,empezó,it started
1274,vayan,go
1275,jim,jim
1276,llaman,they call
1277,ojalá,I wish
1278,perdona,sorry
1279,vuelvo,I come back
1280,golpe,blow
1281,quedarme,stay
1282,llamaré,I will call
1283,acabado,finish
1284,estilo,style
1285,nueve,nine
1286,definitivamente,definitely
1287,quedar,meet
1288,cartas,cards
1289,bomba,pipe
1290,guardia,guard
1291,pistola,pistol
1292,probar,prove
1293,majestad,majesty
1294,traer,bring
1295,marcha,march
1296,pareces,you seem
1297,común,common
1298,aquel,that
1299,hacerle,do
1300,vuelo,flight
1301,nota,use
1302,danny,danny
1303,humanos,humans
1304,estaremos,will be
1305,valor,value
1306,suyo,yours
1307,objetivo,aim
1308,repente,suddenly
1309,debía,should
1310,rojo,red
1311,bromeando,joking
1312,irá,will
1313,entrada,Prohibited
1314,doble,double
1315,dejaré,I will leave
1316,evitar,avoid
1317,máquina,machine
1318,cuello,neck
1319,conocí,I met
1320,tiempos,time
1321,tome,to that
1322,nick,nick
1323,animales,animals
1324,alex,alex
1325,acaso,chance
1326,tuviera,had
1327,pareja,couple
1328,verano,summer
1329,escuché,listen
1330,ama,or
1331,serás,you will
1332,mentira,lie
1333,tarjeta,card
1334,hagan,hagan
1335,perdí,I missed
1336,correr,run
1337,steve,steve
1338,traído,brought
1339,llegue,I arrived
1340,preparado,prepared
1341,haberlo,have
1342,tony,tony
1343,usa,deer
1344,intentar,attempt
1345,ayudarme,help me
1346,flores,flores
1347,dando,giving
1348,vos,your
1349,opción,option
1350,isla,the same
1351,cierra,close
1352,piel,fur
1353,enemigo,enemy
1354,dejo,let
1355,exacto,exact
1356,imbécil,fool
1357,jóvenes,youths
1358,pedido,order
1359,larga,long
1360,entiende,understands
1361,justicia,justice
1362,nuevos,new
1363,obviamente,obviously
1364,despierta,wake up
1365,pido,I ask
1366,calor,heat
1367,luces,lights
1368,refiero,I mean
1369,fuimos,went
1370,batalla,battle
1371,déjalo,leave it alone
1372,intenta,try
1373,sarah,sarah
1374,fantástico,Fantastic
1375,brazo,arm
1376,absolutamente,absolutely
1377,llena,full
1378,hacerme,make me
1379,salga,out
1380,recordar,remember
1381,escapar,escape
1382,bosque,forest
1383,gay,gay
1384,señores,sirs
1385,quedan,remain
1386,piernas,legs
1387,visita,visit
1388,parís,Paris
1389,usando,using
1390,ganado,cattle
1391,movimiento,motion
1392,blanca,white
1393,rico,rico
1394,inocente,innocent
1395,pesar,weigh
1396,absoluto,absolute
1397,vacaciones,vacation
1398,um,one
1399,mismos,themselves
1400,tomado,taken
1401,habías,had
1402,planes,planes
1403,cine,who
1404,toca,touch
1405,brillante,bright
1406,confianza,trust
1407,vuestra,your
1408,nombres,Names
1409,especialmente,especially
1410,fbi,fbi
1411,embarazada,pregnant
1412,esperen,they wait
1413,pantalones,pants
1414,defensa,defending
1415,terminó,term
1416,salido,stepped out
1417,estupendo,great
1418,jane,jane
1419,presión,pressure
1420,inmediatamente,immediately
1421,testigo,witness
1422,deberían,should
1423,olvidado,forgotten
1424,soldados,soldiers
1425,resulta,result
1426,tommy,tommy
1427,depende,it depends
1428,motivo,reason
1429,inglés,English
1430,suya,to the water
1431,estudio,study
1432,acabar,finish
1433,sentimientos,feelings
1434,tomando,taking
1435,dieron,they gave
1436,parecen,they look like
1437,llaves,keys
1438,perros,dogs
1439,propósito,purpose
1440,noticia,news
1441,partir,leave
1442,vuestro,your
1443,metros,meters
1444,santa,santa
1445,quedarse,stay
1446,clientes,customers
1447,podrá,will be able
1448,cuántas,how many
1449,ridículo,ridiculous
1450,damas,ladies
1451,estuviste,you were
1452,tranquila,quiet
1453,operación,operation
1454,come,come
1455,empresa,company
1456,ayúdame,Help me
1457,laboratorio,laboratory
1458,elección,choice
1459,menudo,slight
1460,beso,kiss
1461,copa,Cup
1462,conversación,conversation
1463,brazos,arms
1464,espíritu,spirit
1465,dejas,dances
1466,cansado,tired out
1467,interesa,interest
1468,refieres,you mean
1469,casado,married
1470,enorme,huge
1471,asuntos,affairs
1472,fe,fe
1473,muestra,sample
1474,trampa,trap
1475,ray,ray
1476,billy,billy
1477,memoria,memory
1478,johnny,johnny
1479,contrario,contrary
1480,soldado,Soldier
1481,subir,move up
1482,turno,shift
1483,encantaría,would love
1484,preocupado,worried
1485,restaurante,restaurant
1486,saliendo,coming out
1487,escrito,written
1488,cálmate,take it easy
1489,bienvenida,welcome
1490,caer,fall
1491,llevaré,I will take
1492,leche,milk
1493,estrellas,stars
1494,prefiero,prefer
1495,red,red
1496,viejos,old
1497,solamente,only
1498,oiga,Listen
1499,estén,are
1500,cuentas,accounts
1501,taxi,taxi
1502,anillo,ring
1503,richard,richard
1504,preguntar,ask
1505,victoria,victoria
1506,quiénes,who
1507,héroe,hero
1508,pequeños,little ones
1509,decidido,decided
1510,películas,films
1511,responsable,responsible
1512,trago,I bring
1513,volverá,To return to
1514,árbol,tree
1515,ibas,you were going
1516,dientes,teeth
1517,encantado,charmed
1518,camión,truck
1519,vender,sell
1520,llame,I called
1521,detente,detente
1522,luchar,struggle
1523,cabo,cable
1524,ruido,noise
1525,lucha,struggle
1526,muere,go dead
1527,reloj,clock
1528,gato,cat
1529,averiguar,figure out
1530,volar,fly
1531,vayamos,let's go
1532,tanta,so much
1533,vendrá,will come
1534,corriendo,in a hurry
1535,yendo,going
1536,colegio,school
1537,sonido,sound
1538,caballero,gentleman
1539,pasada,past
1540,código,code
1541,hagamos,let's do
1542,imagen,image
1543,riesgo,risk
1544,llegamos,we arrived
1545,alguno,some
1546,pan,bread
1547,millón,million
1548,malas,lazy
1549,dama,lady
1550,hielo,ice
1551,coño,Pussy
1552,cayó,fell
1553,prensa,press
1554,querer,to want
1555,vengan,come
1556,eddie,eddie
1557,caminar,walk
1558,televisión,television
1559,pasará,it will happen
1560,momentos,moments
1561,coger,take
1562,posibilidad,possibility
1563,hubiese,would have
1564,mark,mark
1565,asiento,seat
1566,tuviste,You saw
